"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.169083338E-3,1.193917236E0,6.923851776E0,6.331982574E0
1.221908326E-2,7.985893250E-1,7.167395325E0,6.688690796E0
2.226908330E-2,5.393284607E-1,7.198380890E0,6.943011932E0
3.232008324E-2,4.718188477E-1,7.053182831E0,6.967261505E0
4.237008328E-2,4.845423889E-1,6.844367065E0,6.871460724E0
5.242008332E-2,5.281018066E-1,6.623576202E0,6.750512238E0
6.247108325E-2,6.204597473E-1,6.491101685E0,6.690936127E0
7.252108329E-2,7.101232910E-1,6.449338531E0,6.717580719E0
8.257108333E-2,7.650590515E-1,6.439608765E0,6.766379242E0
9.262208326E-2,7.491920471E-1,6.397097168E0,6.812034302E0
1.026720833E-1,7.035369873E-1,6.342011719E0,6.877148895E0
1.127220833E-1,6.935078430E-1,6.274202728E0,6.961423645E0
1.227730833E-1,7.301815796E-1,6.205345917E0,7.049590302E0
1.328230833E-1,7.836204529E-1,6.184539185E0,7.182813263E0
1.428730832E-1,7.882608032E-1,6.187383270E0,7.353907471E0
1.529240833E-1,6.833290100E-1,6.119574280E0,7.505093079E0
1.629740833E-1,5.194198608E-1,6.055956573E0,7.658524017E0
1.730240833E-1,4.188290405E-1,6.032605133E0,7.796087952E0
1.830750833E-1,3.990701294E-1,6.044580231E0,7.877069550E0
1.931250833E-1,3.755690002E-1,5.964796143E0,7.867639160E0
2.031750833E-1,3.396437073E-1,5.824986877E0,7.834108887E0
2.132260833E-1,3.869453430E-1,5.760471039E0,7.815846863E0
2.232760832E-1,4.722679138E-1,5.785169678E0,7.820187836E0
2.333260833E-1,5.156776428E-1,5.853876801E0,7.851772156E0
2.433770833E-1,4.628375244E-1,5.906267853E0,7.803123322E0
2.534270833E-1,3.296145630E-1,5.967340851E0,7.631280670E0
2.634770833E-1,4.549040222E-1,5.425168304E0,7.522007904E0
2.735280833E-1,1.258582764E0,4.702920227E0,7.642357635E0
2.835780833E-1,1.400487671E0,4.883594513E0,7.280410309E0
2.936280833E-1,8.277786255E-1,5.495222626E0,7.323969727E0
3.036790832E-1,2.639012146E-1,5.805078278E0,7.920030212E0
3.137290833E-1,6.421646118E-2,5.783223724E0,8.328381042E0
