"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.395733329E-2,-2.765818238E-1,-1.621611863E-1,-1.418167073E-2
2.400833333E-2,-3.264186084E-1,-2.348905057E-1,-2.587827295E-2
3.405833337E-2,-3.471725881E-1,-3.208687603E-1,-5.043859035E-2
4.410833330E-2,-3.528608382E-1,-4.132205248E-1,-8.338882029E-2
5.415933335E-2,-3.272374570E-1,-4.380802214E-1,-1.097353771E-1
6.420933339E-2,-2.818515897E-1,-3.847869039E-1,-1.248962209E-1
7.425933331E-2,-2.568556368E-1,-3.188548088E-1,-1.337580383E-1
8.431033336E-2,-2.509689927E-1,-2.639108598E-1,-1.361215860E-1
9.436033329E-2,-2.607150376E-1,-2.046636492E-1,-1.309032589E-1
1.044103333E-1,-2.783635259E-1,-1.498235613E-1,-1.151048541E-1
1.144613334E-1,-2.949905694E-1,-1.424867213E-1,-1.020045206E-1
1.245113333E-1,-2.952472866E-1,-1.652820557E-1,-9.565900266E-2
1.345613333E-1,-2.850939333E-1,-1.917625815E-1,-9.934315830E-2
1.446123334E-1,-2.579214275E-1,-2.262089849E-1,-1.048625559E-1
1.546623333E-1,-2.274017185E-1,-2.427855283E-1,-1.020994857E-1
1.647123334E-1,-2.005133778E-1,-2.414813787E-1,-9.394568205E-2
1.747633334E-1,-1.756587327E-1,-2.303145230E-1,-9.398368746E-2
1.848133333E-1,-1.529515535E-1,-2.132743001E-1,-9.772755951E-2
1.948639584E-1,-1.410192698E-1,-1.878288984E-1,-8.596049994E-2
2.049149583E-1,-1.299021691E-1,-1.596438587E-1,-5.958455056E-2
2.149649584E-1,-1.167945564E-1,-1.213265806E-1,-2.799161151E-2
2.250149583E-1,-9.474651515E-2,-8.107157052E-2,1.519142301E-3
2.350659583E-1,-7.112527639E-2,-4.137271643E-2,1.712888107E-2
2.451159584E-1,-5.689787120E-2,-8.461371064E-3,2.348877490E-2
2.551659583E-1,-5.782508478E-2,5.989254452E-3,1.495353784E-2
2.652169584E-1,-7.452816516E-2,1.016455796E-2,6.373631768E-3
2.752669584E-1,-1.003048941E-1,5.311456043E-4,5.757745821E-4
2.853169583E-1,-1.315384507E-1,-1.634477451E-2,-4.772392567E-4
2.953679584E-1,-1.738829613E-1,-5.552476272E-2,-3.488082206E-3
3.054179583E-1,-2.118724287E-1,-1.049841866E-1,-1.579268463E-2
3.154679583E-1,-2.499612719E-1,-1.309167147E-1,-2.655961365E-2
3.255189584E-1,-2.911390662E-1,-1.371189505E-1,-3.237356246E-2
3.355689583E-1,-3.383345008E-1,-1.295877993E-1,-3.117670305E-2
3.456189584E-1,-3.916576505E-1,-1.200057492E-1,-2.744854242E-2
3.556699584E-1,-4.495964348E-1,-1.279248148E-1,-2.631884441E-2
3.657199583E-1,-5.027483106E-1,-1.543345898E-1,-3.657440841E-2
3.757699584E-1,-5.370242596E-1,-2.039319724E-1,-5.048383400E-2
3.858209583E-1,-5.436060429E-1,-2.631625235E-1,-8.547084779E-2
3.958709583E-1,-5.187543631E-1,-3.282045126E-1,-1.247340813E-1
4.059209584E-1,-4.928218126E-1,-4.052577317E-1,-1.444766372E-1
4.159719583E-1,-4.829891920E-1,-4.802419841E-1,-1.299355477E-1
4.260219584E-1,-4.712992311E-1,-5.129530430E-1,-9.224035591E-2
4.360719584E-1,-4.403297305E-1,-4.433020055E-1,-5.117179826E-2
4.461229583E-1,-4.029408395E-1,-3.007914722E-1,-1.650915667E-2
4.561729584E-1,-3.537380695E-1,-1.341976374E-1,-6.443727762E-4
4.662229583E-1,-2.947533131E-1,2.096585557E-2,-1.434532925E-3
4.762739583E-1,-2.360219955E-1,1.549444795E-1,7.300078869E-5
4.863239584E-1,-1.824250817E-1,2.386574894E-1,1.478909701E-2
4.963739583E-1,-1.318513304E-1,2.662020326E-1,5.007655174E-2
5.064249584E-1,-9.740627557E-2,2.527906299E-1,9.805313498E-2
5.164749584E-1,-6.958730519E-2,1.997038573E-1,1.495171338E-1
5.265249583E-1,-5.081307888E-2,1.290645748E-1,1.775551587E-1
5.365759584E-1,-5.579974502E-2,6.434740871E-2,1.927609295E-1
5.466259583E-1,-7.256540656E-2,1.041360386E-2,1.907976568E-1
5.566759583E-1,-1.004394144E-1,-2.256717905E-2,1.872185618E-1
5.667269584E-1,-1.358163208E-1,-4.344369844E-2,1.787411869E-1
5.767769583E-1,-1.783193499E-1,-4.524129257E-2,1.712154448E-1
5.868269583E-1,-2.327804565E-1,-3.823558241E-2,1.625756174E-1
5.968779584E-1,-2.972465456E-1,-2.406142466E-2,1.516629606E-1
6.069279583E-1,-3.710632324E-1,-1.050673425E-2,1.412737072E-1
6.169779584E-1,-4.459002912E-1,-5.738251843E-3,1.343677193E-1
6.270289583E-1,-5.027933717E-1,-7.421901450E-3,1.363973022E-1
6.370789583E-1,-5.479900241E-1,-2.700497024E-2,1.519616842E-1
6.471289584E-1,-5.673410892E-1,-6.674492359E-2,1.559154242E-1
6.571799583E-1,-5.948512554E-1,-1.166462824E-1,1.547909379E-1
6.672299583E-1,-6.103423238E-1,-1.649147421E-1,1.583923250E-1
6.772799584E-1,-6.219534278E-1,-1.953964382E-1,1.630113870E-1
6.873309583E-1,-6.149585843E-1,-1.894011348E-1,1.721228659E-1
6.973809584E-1,-5.897842646E-1,-1.845037192E-1,1.758790463E-1
7.074309584E-1,-5.574399233E-1,-1.881346852E-1,1.677529365E-1
7.174809583E-1,-5.036280751E-1,-1.563114971E-1,1.534810960E-1
7.275319584E-1,-4.439873993E-1,-1.059711054E-1,1.291152984E-1
7.375819583E-1,-3.798377514E-1,-4.506270587E-2,1.034054831E-1
7.476319583E-1,-3.251550496E-1,5.587955937E-3,8.526269346E-2
7.576829584E-1,-2.776567340E-1,3.854788467E-2,7.489404827E-2
7.677329583E-1,-2.367575318E-1,6.654009968E-2,7.612975687E-2
7.777829584E-1,-2.109744400E-1,8.216001838E-2,8.670297265E-2
7.878339584E-1,-1.930332482E-1,9.369336814E-2,1.044851616E-1
7.978839583E-1,-1.791073978E-1,8.808592707E-2,1.246157512E-1
8.079339584E-1,-1.724058092E-1,6.552575529E-2,1.471564770E-1
8.179849583E-1,-1.671549678E-1,3.990912437E-2,1.753784865E-1
8.280349583E-1,-1.610089242E-1,1.917002536E-2,2.018492371E-1
8.380849584E-1,-1.624895930E-1,-7.670963183E-3,2.231699824E-1
8.481359583E-1,-1.631820053E-1,-2.838289738E-2,2.374264151E-1
8.581859584E-1,-1.748217344E-1,-3.719395772E-2,2.484988868E-1
8.682359584E-1,-1.906488985E-1,-8.283920586E-2,2.458429039E-1
8.782869583E-1,-2.064309120E-1,-9.234046191E-2,2.284447402E-1
8.883369584E-1,-2.165245712E-1,-7.369327545E-2,2.056302279E-1
8.983869583E-1,-2.218931019E-1,-6.233862787E-2,1.859861165E-1
9.084379583E-1,-2.280788273E-1,-6.651819497E-2,1.707991809E-1
9.184879584E-1,-2.330178618E-1,-6.757827848E-2,1.505302489E-1
9.285379583E-1,-2.408765852E-1,-6.933356822E-2,1.313403100E-1
9.385889584E-1,-2.426494360E-1,-6.923668832E-2,1.184330061E-1
9.486389584E-1,-2.514775693E-1,-7.123619318E-2,1.075526625E-1
9.586889583E-1,-2.635848522E-1,-9.036768973E-2,1.072746888E-1
9.687399584E-1,-2.804743648E-1,-1.190603226E-1,1.157677770E-1
9.787899583E-1,-2.995989323E-1,-1.309931129E-1,1.259066164E-1
9.888399583E-1,-3.115480244E-1,-1.312128156E-1,1.280134469E-1
9.988909584E-1,-3.158667088E-1,-1.382240802E-1,1.281500161E-1
1.008940958E0,-3.119111061E-1,-1.475406140E-1,1.195224449E-1
1.018990958E0,-3.007767200E-1,-1.414835751E-1,1.046177223E-1
1.029041958E0,-2.857650220E-1,-1.248286963E-1,8.587572724E-2
1.039091958E0,-2.749739885E-1,-1.269087791E-1,6.368602812E-2
1.049141958E0,-2.618826628E-1,-1.256602854E-1,3.921583667E-2
1.059192958E0,-2.508250773E-1,-1.102174148E-1,1.853970066E-2
1.069242958E0,-2.380799800E-1,-1.051182598E-1,1.075747423E-5
1.079292958E0,-2.320680022E-1,-1.076578498E-1,-1.940695755E-2
