Time(s);X(m/s^2);Y(m/s^2);Z(m/s^2)
0,067836106;1,654337764;9,464211464;-2,678765059
0,085046002;1,458126307;9,535996437;-3,01376009
0,102251835;1,450947881;9,246166229;-2,977867842
0,119455064;1,62801671;8,865707397;-3,020938635
0,136655793;1,769492388;8,743673325;-2,963510752
0,153651575;1,860419631;8,896813393;-3,049652576
0,170507616;1,977667928;9,234201431;-3,174378395
0,187362877;1,951346874;9,449854851;-3,483052492
0,204218137;1,584945917;9,248558998;-3,332304716
0,221074127;1,551446438;8,784351349;-3,384946823
0,23793022;1,43659091;8,566305161;-3,030509949
0,254785481;1,735992789;9,097810745;-1,835893154
0,271640689;2,497209549;10,20628548;-0,808774054
0,288496731;2,688635349;10,97737312;0,048155557
0,305352773;2,583351135;10,34985542;0,773479939
0,322208033;2,652743101;9,662816048;0,416949332
0,339063241;3,900001764;9,200701714;0,062512495
0,355919283;3,565006733;9,931111336;-0,236590341
0,372775325;4,359723091;11,70269775;0,687338293
0,389630585;3,818645954;13,95075417;4,362414837
0,406485793;3,500400543;14,04646683;6,58654356
0,423341835;4,72612381;11,03001499;4,838885784
0,440197877;3,957728624;8,28155899;1,774278045
0,457053137;2,082952023;7,534400463;0,546161771
0,473908398;0,826122046;6,799504757;-0,552742004
0,490764387;1,565803289;6,425925255;-0,617348254
0,507620481;2,774776936;5,679065228;-1,740180254
0,524475741;3,203391314;4,936991215;-2,815155745
0,54133095;2,418246269;4,630411148;-2,803191662
0,558186991;1,613659739;4,7404809;-1,845464468
0,575043033;1,625623941;5,248058319;-1,01724875
0,591898293;3,038286448;6,284748554;-1,072283626
0,608753502;4,673481941;7,453044415;-2,111366987
0,625609543;5,68863678;8,166703224;-3,186342478
0,642465585;6,095416546;8,975776672;-4,02652216
0,659320845;5,913562298;9,583852768;-5,254638672
0,676176106;5,408377171;9,203095436;-4,835894585
0,693032095;5,346164227;9,614959717;-4,268496513
0,709888189;5,746064663;10,65882874;-2,925225735
0,72674345;6,531209469;11,5519495;0,763908625
0,743598658;5,717350483;11,09701443;4,307379723
0,760454648;5,262415409;10,32353401;3,397509098
0,777310741;5,236093998;9,787242889;0,912562728
0,794166002;5,274379253;8,872885704;-1,23978126
0,81102121;4,998905659;7,819445133;-2,496611357
0,827877252;4,793122768;6,069394588;-3,29641223
0,844733293;6,07148838;6,086144447;-4,199104786
0,861588554;6,480959892;6,816254616;-4,172484398
0,878443762;6,191428661;7,532007694;-4,3546381
0,895299804;5,75324297;7,955836296;-3,701098442
0,912155845;4,450650215;7,565506935;-2,755335331
0,929011106;3,454936743;6,981359005;-2,384148598
0,945866314;2,856431961;6,394818306;-3,0448668
0,962722356;2,906681299;5,908776283;-4,251746655
0,979578398;3,145963669;5,21695137;-5,341079235
0,996433658;3,878466368;4,436592102;-6,267400742
1,013288866;5,291129112;3,862015724;-6,571588516
1,030144908;6,751648426;3,708875179;-6,310471535
1,04700095;8,714659691;4,319344044;-5,992226124
1,06385621;10,65135098;4,695017338;-6,140581131
1,08071147;11,03928757;5,267200947;-5,831607819
1,09756746;8,930013657;5,786742687;-3,590729475
1,114423554;7,596613884;6,409175396;-2,654836655
1,131278814;6,002096653;6,677470684;-2,657229662
1,148134023;5,425127029;6,830611229;-3,966701746
1,164990064;6,028417587;7,328617573;-5,482255936
1,181846106;6,370890141;8,219346046;-6,336792469
1,198701366;6,97178793;9,871291161;-6,056832314
1,215556575;9,897313118;10,09860897;-5,788537025
1,232412616;10,50060272;8,085048676;-6,966403961
1,249268658;5,142774105;7,400402069;-5,252245903
1,266123918;3,632005692;8,077870369;-0,971785069
1,282979127;2,11645174;8,09701252;1,407876968
1,299835168;1,7670995;10,94836044;1,106381416
1,31669121;2,772384167;13,40489197;-0,323031068
1,33354647;4,201796532;13,41685581;-1,012463093
1,350401679;4,443471432;11,15444183;-2,214258194
1,36725772;4,680660248;9,033205032;-3,928416491
1,384113762;5,116453171;8,252845764;-4,150949001
1,400969023;5,446662426;8,834600449;-4,294817448
1,417824231;4,051048756;9,526425362;-4,045664787
1,434680273;2,781955481;9,262915611;-5,475077152
1,451536366;3,083750248;8,14726162;-7,644171238
1,468391575;3,358924866;6,641578197;-10,08843899
1,485246835;3,332603693;6,014359951;-10,02144051
1,502102825;3,754039526;5,70299387;-9,235996246
1,518958918;4,058227062;5,53071022;-6,518946171
1,535814179;5,559125423;5,5594244;0,361914426
1,552669387;5,312664509;4,249952316;8,188239098
1,569525429;2,870789051;5,133202553;4,381557465
1,58638147;2,554637194;7,601698399;-3,028116941
1,603236731;3,308675528;9,421140671;-5,582754135
1,620091939;3,553042412;9,399605751;-4,107878208
1,636947981;3,529114246;8,23370266;-2,528017044
1,653804023;3,52193594;8,099405289;-2,951546669
1,670659283;3,703790426;8,578269005;-3,73699069
1,687514491;3,486043453;8,597412109;-3,81595397
1,704370533;2,882753134;8,01804924;-4,364209175
1,721226575;1,520339727;6,833003998;-4,92442894
1,738081835;1,108475089;6,394818306;-4,945964336
1,754937043;1,082154036;6,880860806;-2,961117983
1,771793085;0,50518471;9,346963882;-3,559622765
1,788649127;-0,500099957;10,2469635;-4,823930264
1,805504387;-0,028713871;9,801599503;-3,945166349
1,822359648;1,635195136;9,416355133;-1,833500385
1,839215637;2,772384167;10,32114124;-1,414756417
1,856071731;4,189832687;9,931111336;-0,385244459
1,872926991;4,855336189;8,798707962;-0,250947267
1,8897822;5,135595798;7,563114166;-1,105783105
1,906638189;4,747659206;6,588936329;-1,951047778
1,923494283;4,503591537;6,600900173;-1,888535261
1,940349543;3,9625144;6,993323326;-0,974177897
1,957204752;3,071786165;7,249654293;0,809372246
1,974060793;1,786242127;7,974978924;-0,162412837
1,990916835;1,41984117;10,05793095;-1,151246786
2,007772095;3,241676569;12,48544979;-3,91166687
2,024627304;6,399604321;15,04965782;-5,070391178
2,041483345;9,918848038;16,49312782;-6,559624195
2,058339387;6,835396767;12,13370419;-3,590729475
2,075194648;4,929513931;8,190631866;-2,010868311
2,092049856;4,513162613;7,376473904;-0,796809912
2,108905898;3,478864908;6,727719784;0,694516778
2,125761939;3,260818958;6,043073654;-0,248554453
2,1426172;3,550649643;6,191428661;-0,667597532
2,15947246;3,789932013;6,919145584;-1,658824325
2,17632845;4,034298897;7,359724045;-2,04436779
2,193184543;4,462614059;7,443472862;-1,627717614
2,210039804;4,951049328;7,163512707;-2,05872488
2,226895012;4,893621445;6,983751774;-3,356232882
2,243751002;4,393222332;7,151548862;-3,878167391
2,260607095;3,41186595;7,431509018;-3,43758893
2,277462356;2,456531525;7,084549427;-2,580659151
2,294317564;3,232105255;6,083751678;-2,295614243
2,311173606;5,037190914;5,228915691;-2,688336134
2,328029648;5,279164791;4,345664978;-3,198306561
2,344884908;5,21695137;3,7256248;-4,237389565
2,361740116;5,465805054;3,696911097;-4,991427898
2,378596158;7,249355316;4,549055099;-4,98903513
2,3954522;8,705088615;6,454638958;-5,072783947
2,41230746;10,35703373;7,764410496;-5,997011662
2,42916272;11,61864948;7,46261549;-6,600302219
2,44601871;11,32433224;6,102894306;-6,420541286
2,462874804;9,31555748;6,574579239;-4,972285271
2,479730064;7,74736166;8,769993782;-2,429612398
2,496585273;6,334998131;11,97308636;-1,661217093
2,513441314;6,648457527;18,27458382;-2,580659151
2,530297356;6,006882191;17,58724594;-1,622931957
2,547152616;0,093619183;10,89332485;1,410269856
2,564007825;-1,44347024;9,945467949;2,0330019
2,580863866;1,036690354;9,715457916;0,443270385
2,597719908;2,152343988;9,634101868;-1,301994562
2,614575168;4,175475597;8,267202377;-5,175675392
2,631430429;5,695815086;7,71176815;-4,541278362
2,648286418;6,535995007;8,425128937;-5,2737813
2,665142512;4,951049328;9,277272224;-6,358327866
2,681997773;2,540280342;9,871291161;-7,768597603
2,698852981;0,519541621;8,939884186;-9,204889297
2,715709023;-0,430708081;8,982954979;-8,769395828
2,732565064;-0,236889437;7,974978924;-8,082057953
2,749420325;1,817348838;6,993323326;-6,253043652
2,766275533;6,196214199;6,210571289;2,765504837
2,783131575;4,558626175;5,860919952;6,344569206
2,799987616;3,478864908;7,563114166;1,422233939
2,816842877;3,212962627;9,13848877;-2,69312191
2,833698137;2,913859844;9,433105469;-2,863012314
2,850554127;2,691028118;9,11695385;-2,657229662
2,86741022;2,688635349;8,903991699;-2,403291225
2,884265481;2,106880426;8,664410591;-2,62851572
2,901120689;1,448554993;8,978169441;-4,016951084
2,917976731;0,840478957;7,965407372;-5,168497086
2,934832773;1,007976532;5,93778944;-5,345864773
2,951688033;1,22841537;4,235595226;-4,122235298
2,968543241;2,054238319;3,21804738;-2,616551638
2,985399283;2,190629244;5,40389061;-3,569194078
3,002255377;0,826122046;8,307880402;-5,798108578
3,019110637;-0,021535404;8,7532444;-4,692026138
3,035965845;1,505982757;7,972586155;-2,970689297
3,052821887;4,271188259;8,817850113;-1,532004714
3,069677929;5,973382473;8,073084831;-1,199103236
3,086533189;6,253642082;5,964110374;-0,988534868
3,103388398;5,597410202;4,510769844;-0,30388847
3,120244439;4,287938118;4,766801834;0,208474666
3,137100481;3,026322365;7,72612524;0,280259341
3,153955793;3,454936743;12,91884899;-2,908475876
3,170811002;8,006085396;19,42134476;-7,36151886
3,187667043;12,72712421;23,37877464;-12,64786243
3,204523085;7,958229065;16,60349655;-6,485446453
3,221378345;6,306283951;10,24457073;-1,630110383
3,238233554;6,164808273;7,709375381;1,458425403
3,255089595;8,1257267;6,629614353;4,838885784
3,271945637;4,599304199;3,268296719;5,056632519
3,288800898;6,143272877;4,307379723;2,90428853
3,305656158;6,049952984;5,832206249;-1,182353497
3,3225122;4,927121162;6,354140759;-6,779763699
3,339368241;4,771587372;6,481259346;-8,695218086
3,356223502;4,338187218;6,746862411;-6,849155903
3,37307871;3,35413909;7,951050758;-5,046463013
3,389934752;2,23130703;8,231309891;-3,959523201
3,406790793;1,604088426;7,692625523;-2,566302299
3,423646054;1,063011408;7,795516968;-0,404387027
3,440501314;1,678265929;6,81386137;-0,978963554
3,457357356;2,87318182;5,169095039;-2,458326101
3,474213398;4,244867325;4,295415878;-3,684348583
3,491068658;5,915955067;3,912265062;-4,735096931
3,507923866;8,87258625;4,41984272;-6,358327866
3,524779908;11,81755257;5,870491028;-6,562016964
3,541636002;12,43998623;6,617650032;-5,601896763
3,558491262;9,73699379;5,437390327;-5,55882597
3,57534647;7,977371693;5,940182209;-5,735895157
3,592202512;6,598208427;5,631208897;-5,312365532
3,609058554;5,444269657;5,635994434;-5,070391178
3,625913814;6,447460651;7,201797962;-4,036093712
3,642769023;7,29003334;9,803992271;-3,035295486
3,659625064;8,449056625;13,98664665;-3,069094181
3,676481158;11,0943222;17,14936066;-4,086342812
3,693336418;5,37487793;14,3434763;-0,815952539
3,710191627;-0,574576557;15,4734869;2,557329178
3,727047668;-2,288734913;11,76251793;1,843669891
3,74390371;0,100797653;7,649554729;-0,124127671
3,76075897;1,98963201;5,700600624;-3,01376009
3,777614231;3,804288864;5,40389061;-4,223032951
3,79447022;4,635196686;8,592626572;-3,971487284
3,811326314;3,555435419;9,552745819;-5,242674351
3,828181575;2,332104683;8,712266922;-7,143772125
3,845036783;1,913061738;7,706982613;-7,21794939
3,861892825;2,047059774;7,070192814;-7,29691267
3,878748918;2,911466837;7,010073185;-7,763812065
3,895604179;4,213760853;7,771588802;-6,396613121
3,912459387;5,884848118;8,034799576;-3,444767237
3,929315429;6,306283951;7,500900745;2,973680258
3,94617147;4,364508629;6,339783669;4,491627216
3,963026731;3,823431492;6,840182781;0,258723944
3,979881991;4,034298897;8,269595146;-2,403291225
3,996737981;4,048655987;9,274879456;-2,824727058
4,013594075;3,66789794;9,128917694;-2,520838737
4,030449335;3,323032379;8,405985832;-2,618944407
4,047304543;3,215355396;8,185846329;-3,219841957
4,064160585;2,863610506;8,391629219;-4,098307133
4,081016627;2,054238319;8,049156189;-4,562813759
4,097871939;1,328913927;7,407580853;-3,732205153
4,114727148;1,05822587;7,180262566;-3,315554857
4,131583189;1,541875124;6,990930557;-3,042474031
4,148439231;1,458126307;7,359724045;-4,242175579
4,165294491;0,665802896;8,013263702;-5,728716373
4,182149752;0,459721059;7,630412102;-3,234198809
4,199005741;1,795813441;8,113762856;-2,020439625
4,215861835;3,339782238;8,700303078;-2,621337175
4,232717095;4,457828522;7,517650604;-2,137687922
4,249572304;5,307878971;5,509174824;-1,053141117
4,266428345;5,760421276;4,539483547;-0,974177897
4,283284439;5,482554913;4,898705959;-0,727418065
4,3001397;4,177868366;6,334998131;-0,313459754
4,316994908;3,067000389;9,078668594;0,658624411
4,33385095;3,670290947;12,70349503;-1,63489604
4,350706991;8,187939644;18,67179298;-8,489136696
4,367562252;12,54766273;24,15195465;-13,04028511
4,384417512;6,334998131;15,64816284;-5,087141037
4,401273554;5,094917774;10,08425236;-1,089033365
4,418129595;5,257629395;8,650053978;1,46321106
4,434984856;4,637589455;6,744469643;4,498805523
4,451840116;4,15633297;4,436592102;3,124727249
4,468696106;3,684647799;4,153940201;0,706480861
4,4855522;3,481257915;4,295415878;-2,91804719
4,50240746;3,636791229;5,408676624;-6,02811861
4,519262668;4,278367043;6,035895348;-6,593123913
4,53611871;4,762016296;7,139584541;-6,174080849
4,552974804;4,043870449;8,070692062;-4,998606682
4,569830064;2,834896564;7,472187042;-1,835893154
4,586685273;1,779063582;7,381259441;-0,480957359
4,603541314;1,094118118;6,483652115;-0,923928618
4,620397356;2,626421928;5,049454212;-2,903690338
4,637252616;3,93828702;3,840480328;-4,050450325
4,654107877;5,269593716;2,803789854;-4,514957428
4,670963918;6,983751774;3,139084101;-6,209972858
4,68781996;10,00020409;5,494818211;-6,602694988
4,70467522;12,1477623;8,516056061;-5,970690727
4,721530481;14,91775322;8,532805443;-5,992226124
4,738386523;12,94995594;5,779563904;-6,133402824
4,755242564;10,18714333;3,785445452;-7,653742313
4,772097825;6,581458569;2,63389945;-6,916154861
4,788953085;5,415555954;5,921039581;-3,875774384
4,805809075;6,390032768;10,73300552;-2,374577284
4,822665168;6,011667728;13,84068394;-0,349352092
4,839520429;5,722136021;15,89940929;0,428913444
4,856375637;5,154737949;12,10738373;-1,919641972
4,873231679;2,583351135;11,06112194;-0,966999471
4,890087773;1,400698543;11,98744297;0,751944542
4,906943033;1,154237866;11,36261749;0,256331116
4,923798241;0,97926265;10,91725349;-0,593420029
4,940654283;2,240878344;9,035597801;-3,432803154
4,957510325;4,472185612;9,583852768;-4,02652216
4,974365637;5,539982796;9,849755287;-6,169294834
4,991220845;5,729314804;9,1863451;-6,853941441
5,008076887;4,010370731;8,556734085;-8,340781212
5,024932929;2,051845312;8,164310455;-9,700503349
5,041788189;0,871585667;8,061120033;-9,611968994
5,05864345;1,544267893;7,974978924;-8,695218086
5,075499491;3,086143017;6,998108864;-6,286543369
5,092355533;5,662315845;5,822634697;2,535494804
5,109210793;4,063013077;5,011168957;7,275975227
5,126066054;2,540280342;6,541079998;3,323331594
5,142922095;2,490031004;8,312665939;-2,602194548
5,159778137;2,90428853;9,586245537;-3,634099483
5,176633398;3,462115288;9,378069878;-3,238984585
5,193488658;3,462115288;8,621339798;-2,829512835
5,2103447;2,921038151;7,821837902;-3,104986429
5,227200741;2,487638235;7,927122116;-3,722633839
5,244056002;2,128415823;7,706982613;-5,13021183
5,260911262;1,697707653;5,458925724;-5,032105923
