Time(s);X(rad/s);Y(rad/s);Z(rad/s)
0,154855168;-0,614512324;-0,931083918;-0,12659809
0,171711575;-0,645054698;-1,042258143;-0,056961507
0,188567252;-0,728129923;-1,031262875;0,006566608
0,205422095;-0,768445849;-0,962848008;0,083533362
0,22227772;-0,700030983;-0,860225678;0,186155707
0,239134127;-0,607182205;-0,745386362;0,308325142
0,255989856;-0,44958359;-0,598783016;0,410947502
0,272844648;-0,188140959;-0,427745789;0,456150204
0,289700273;0,048867781;-0,331231922;0,513569832
0,306556731;0,224944502;-0,117435388;0,557550848
0,323412408;0,259151936;0,142785549;0,618635535
0,3402672;0,288472623;0,236856028;0,768903971
0,357122877;0,27869907;0,526550353;0,684607089
0,373979283;0,194402143;0,392163932;0,668725014
0,39083496;-0,266329408;0,514333367;0,485470861
0,407689752;-0,537545562;1,181378603;0,12384928
0,424545429;-0,329857528;1,14350605;-0,187682822
0,441401835;0,057419643;0,647498071;-0,421026468
0,458257512;0,21517095;0,649941504;-0,548082709
0,475112356;0,102622338;0,751342118;-0,443016976
0,491967981;-0,058641337;0,695144177;-0,13026318
0,508824387;-0,009773556;0,680483818;0,12995775
0,525680116;0,124612838;0,563201189;0,327872276
0,542534908;0,358109206;0,345739543;0,483027458
0,559390533;0,720952451;0,260068208;0,60275352
0,576246991;1,165649295;0,55220592;0,789672792
0,593102668;1,541931152;1,166718245;1,16122067
0,60995746;1,715411782;1,444042921;1,487413049
0,626813137;1,748397589;1,010341406;1,566823244
0,643669543;1,739845753;0,252738059;1,506960154
0,66052522;1,521162391;-0,563353896;1,332257867
0,677380064;1,108229637;-1,049588323;1,284611821
0,694235689;0,637877226;-0,932305634;1,254069448
0,711092095;0,426524103;-0,86633414;1,13312161
0,727947825;0,674528062;-0,843121946;0,844801784
0,744802616;1,637223363;-1,098456025;0,498909503
0,761658241;2,193094254;-0,543806791;0,24357535
0,778514648;2,141783237;0,34329617;-0,045966256
0,795370377;1,673874259;1,241241574;-0,176687568
0,812225168;1,113116384;1,941272616;-0,179130957
0,829080793;0,810136199;2,128191948;0,046882529
0,845937252;0,744164646;1,379293084;0,46103698
0,862792929;0,816244662;0,38605547;0,556329131
0,87964772;0,904206634;-0,563353896;0,574654579
0,896503345;0,882216156;-0,987281859;0,447598338
0,913359804;0,76737684;-0,817466319;0,299773306
0,930215481;0,582901001;-0,287250936;0,197150946
0,947070273;0,348335654;0,310310394;0,18126893
0,96392595;0,201732308;0,52044189;0,142174706
0,980782356;0,209062472;0,335965991;0,11163234
0,997638033;0,259151936;0,128125206;0,11163234
1,014492825;0,287250936;0,163554356;0,10185878
1,031348502;0,330010235;0,52044189;0,09575031
1,048204908;0,512042701;0,818535328;0,170273677
1,065060585;0,779593825;0,431258172;0,25579229
1,081915429;0,967734754;-0,76737684;0,23991026
1,098771054;1,005607247;-1,25605464;0,205702812
1,11562746;0,83457005;-0,687966704;-0,070400149
1,132483189;0,41675055;0,324970752;-0,315960735
1,149337981;-0,02687728;1,199704051;-0,472337633
1,166193606;-0,278546363;1,553995371;-0,551747799
1,183050012;-0,293206692;1,578429341;-0,463785768
1,199905741;-0,119726062;1,422052383;-0,078952007
1,216760533;0,210284174;1,429382563;0,407282412
1,233616158;0,443627834;0,868624806;0,320542097
1,250472616;-0,10628742;-1,353790283;0,242353648
1,267328293;-0,922379375;-1,853463292;0,136066228
1,284183085;-1,007897973;-0,422859013;0,199594349
1,301038762;-0,532658815;0,569309652;0,338867515
1,317895168;-0,045202699;0,536323905;0,132401139
1,334750845;0,161416382;0,515555084;-0,323290914
1,351605637;-0,02687728;1,017671585;-0,692242682
1,368461314;-0,338409394;1,082421303;-0,843732774
1,38531772;-0,266329408;0,625507593;-0,947576821
1,402173398;0,162638083;-0,023364907;-1,141826272
1,419028189;0,49127391;-0,014813046;-1,455801725
1,435883866;0,398425132;0,030389652;-1,668376565
1,452740273;0,109952509;-0,471726805;-1,731904745
1,46959595;-0,507003248;-2,007396698;-1,65249455
1,486450793;-1,497797489;-2,807606697;-1,47534883
1,503306418;-2,676732779;-2,854031086;-1,260330558
1,520162825;-3,566126347;-2,367796659;-0,893822253
1,537018554;-3,527032137;-2,201646328;-0,838846028
1,553873345;-1,894848228;-2,753852129;-0,771652818
1,57072897;-1,081199646;-0,943300903;-0,530978978
1,587585377;-0,695144177;-0,350779027;-0,485776275
1,604441106;-0,816091955;-0,624438584;-0,537087441
1,621295898;-0,959030211;-0,821131408;-0,60794574
1,638151523;-0,888171911;-0,712400615;-0,656813502
1,655007981;-0,816091955;-0,565797269;-0,697129428
1,671863658;-0,850299358;-0,564575553;-0,713011444
1,68871845;-0,963916957;-0,586566091;-0,777761281
1,705574075;-1,123958945;-0,576792538;-0,758214176
1,722430533;-1,180156946;-0,663532853;-0,594507098
1,73928621;-1,0763129;-0,694075227;-0,323290914
1,756141002;-0,924822748;-0,574349165;-0,103385896
1,772996679;-0,702474356;-0,439962745;0,043217443
1,789853085;-0,645054698;-0,698961973;0,151948258
1,806708762;-0,637724519;-0,778372109;0,336424142
1,823563606;-0,5167768;-0,687966704;0,522121668
1,840419231;-0,252890766;-0,52303797;0,589314878
1,857275637;0,190737054;-0,472948492;0,534338653
1,874131366;0,777150452;-0,323901773;0,50013119
1,890986158;1,265828252;-0,018478129;0,564881027
1,907841783;1,512610555;0,268772781;0,893669546
1,924698189;1,490620017;0,335965991;1,30660224
1,941553918;1,362342119;0,52044189;1,531394124
1,95840871;1,529714227;1,389066696;1,746412277
1,975264335;1,830251098;2,056111813;2,083600044
1,992120793;2,152778387;1,867970943;2,484315872
2,00897647;2,281056404;0,916270912;2,567390919
2,025831262;2,081920147;0,214865521;2,164231777
2,042686887;1,483289838;-0,08933641;1,083032131
2,059543345;0,957961202;0,123238437;0,308325142
2,076399023;0,828461587;0,37872529;0,297329903
2,093253814;0,863890708;0,469130695;0,230136707
2,110109491;1,236507535;-0,146756053;0,19226417
2,126965898;1,508945465;-0,819909751;0,205702812
2,143821575;1,138772011;-0,609778285;0,177603841
