Time(s);X(m/s^2);Y(m/s^2);Z(m/s^2)
0,009902928;0,69212395;9,131310463;-1,970190287
0,026762928;2,990430117;10,97498035;-2,994617462
0,04362298;4,855336189;12,12652588;-6,159723759
0,060482198;4,644767761;10,84068298;-8,908179283
0,077341417;4,039084435;8,240880966;-8,903393745
0,094201417;4,553840637;7,84098053;-6,600302219
0,111061417;4,017549038;8,178668022;-4,804787636
0,127920688;2,62402916;7,331010342;-2,250150681
0,144779855;1,865205288;7,180262566;-1,256531
0,161639855;1,867598057;6,526722908;-3,483052492
0,178499907;2,367997169;6,366104603;-4,919643402
0,195359126;2,344068766;6,382854462;-5,597111225
0,212218344;2,612065077;6,186643124;-4,641777039
0,229078344;2,55942297;5,714957714;-3,562015533
0,245938396;2,408675194;5,379962444;-3,84706068
0,262797615;2,64077878;5,116453171;-4,603491783
0,279656782;2,650350094;5,082953453;-5,015356064
0,296516782;2,554637194;5,331807137;-5,151747227
0,313376834;2,420639277;5,336592674;-5,067998409
0,330236053;2,451745987;5,772385597;-5,056034088
0,347095271;2,619243383;5,820241928;-5,175675392
0,363955271;2,892324448;6,110072613;-5,563611984
0,380815323;3,313461065;5,978467464;-6,080760479
0,397674542;3,409473181;5,810670853;-6,545267105
0,414533709;3,380759239;5,652744293;-6,688836575
0,431393761;3,471686602;5,327021599;-6,578766823
0,448253761;3,641577005;5,260022163;-6,557231426
0,465113032;4,206582069;5,214558601;-6,650551319
0,481972198;5,635994434;6,021538258;-6,597909451
0,498832198;9,097810745;8,877671242;-8,252246857
0,515692251;11,22353458;15,03530121;-13,0139637
0,532551469;10,39053345;14,91326714;-8,929715157
0,549410688;6,531209469;10,75214863;-5,304887772
0,566270688;4,328616142;7,55593586;-1,790429592
0,58313074;2,219342947;6,701398849;-2,563909531
0,599989959;0,447756946;6,57218647;-3,957130432
0,616849178;1,041476011;7,242475986;-5,134997368
0,633709178;2,305783749;7,01964426;-6,928118706
0,65056923;3,41186595;6,325426579;-7,02652359
0,667428448;3,701397419;6,30867672;-5,589932919
0,684287615;3,478864908;7,843373299;-5,237888813
0,701147667;2,626421928;9,689137459;-5,589932919
0,718007667;1,632802367;10,70189953;-5,934798241
0,734866938;1,424626827;9,722636223;-5,853143215
0,751726105;1,18055892;8,595019341;-5,434399128
0,768586157;1,223629713;7,671090126;-5,479863167
0,785446157;1,132403374;7,539186001;-6,224329948
0,802305428;1,424626827;8,276773453;-7,17009306
0,819164594;1,108475089;8,906385422;-7,421339512
0,836024646;0,783051193;8,370093346;-7,806882858
0,852884646;0,694516778;7,400402069;-7,770990849
0,869743865;0,845264614;6,366104603;-6,566802502
0,886603084;1,206879973;5,621637821;-5,463113308
0,903463084;1,383948803;3,732803345;3,7710886
0,920323136;2,015953064;3,574577808;2,68175602
0,937182355;1,932204247;5,411069393;-1,182353497
0,954041573;0,936191857;6,856932163;-3,971487284
0,970901573;0,189332098;7,319046497;-5,283352375
0,987761626;-0,39960137;7,314260483;-4,553242207
1,004620844;-0,284745902;7,639983654;-3,435195923
1,021480063;0,182153627;8,231309891;-3,34187603
1,038340063;0,500399053;9,380462646;-4,115056515
1,055200115;-0,050249275;10,01007462;-4,361816406
1,072059334;-0,708574593;10,04835987;-3,772883177
1,088918553;-1,230509043;10,18475056;-3,394518137
1,105778553;-1,893620014;10,15603638;-3,248555899
1,122638605;-2,049153566;10,09860897;-3,547658682
1,139497823;-2,192722797;9,8641119;-4,4958148
1,156357042;-2,260020971;9,792028427;-5,13021183
1,173217042;-2,37248373;9,998110771;-5,403292656
1,190077094;-2,762513638;10,47697353;-5,845964909
1,206936313;-3,090629578;10,68754196;-5,882156372
1,223795532;-2,216650963;10,88614655;-5,190032482
1,240655532;-1,642074585;10,99651527;-4,378566265
1,257515584;-1,098604679;10,88136101;-2,889333248
1,274374855;-0,445065022;10,17039394;-1,311565876
1,291234021;0,454935402;9,650852203;-0,710668325
1,308094073;1,577767372;8,882456779;-1,888535261
1,324954073;2,154736757;8,551948547;-3,818346739
1,341813344;1,712064624;8,240880966;-5,403292656
1,358672511;1,19730866;7,651947498;-5,633003712
1,375532563;0,972084224;7,328617573;-5,268995285
1,392392615;1,091725349;7,268796921;-4,486243248
1,409251834;1,065404296;7,366902828;-3,23180604
1,426111053;0,62751776;8,408378601;-2,429612398
1,442971053;0,017048862;10,50090218;-2,350649118
1,459831105;0,586839736;12,91645622;-3,480659723
1,476690323;0,778265536;11,70509052;-4,761716843
1,493549542;0,12951152;9,253344536;-6,111867428
1,510409542;-0,289531529;7,924729347;-5,664110184
1,527269594;0,186939269;6,744469643;-3,748954773
1,544128813;0,857228696;6,342176437;-2,82233429
1,560988032;1,19730866;5,980860233;-2,78883481
1,577848084;1,118046403;6,311069489;-2,159223318
1,594708084;0,119940236;6,086144447;-1,500898004
1,611567355;-0,684646368;6,189035892;-2,367398977
1,628426573;-0,689432025;6,852146626;-3,53330183
1,645286573;0,110368945;7,943871975;-3,756133318
1,662146626;1,929811478;8,298309326;-3,39212513
1,679005844;2,837289333;7,833802223;-3,037688255
1,695865063;3,011965513;7,125227451;-3,315554857
1,712725063;2,423032045;7,168298244;-3,530908823
1,729585115;1,795813441;7,620841026;-3,530908823
1,746444386;1,8628124;8,022834778;-3,775275946
1,763303605;1,709671736;8,068299294;-4,014558315
1,780163605;1,601695657;7,817052364;-4,179663181
1,797023657;1,570588946;7,543971539;-4,383351803
1,813882876;1,486840129;7,287939548;-4,548456669
1,830742094;1,802991867;6,976573467;-4,450351238
1,847602094;2,379961252;6,746862411;-4,273282051
1,864462146;3,339782238;6,098108292;-4,455136776
1,881321417;4,211368084;5,490032673;-4,665705204
1,898180584;5,260022163;5,655137062;-5,652146339
1,915040636;6,476174355;7,23529768;-6,897012234
1,931900688;6,51445961;9,042776108;-7,196413994
1,948759907;6,626922131;9,449854851;-6,341578007
1,965619126;7,105785847;7,860123158;-5,82921505
1,982479126;6,483353138;6,313462734;-5,367400169
1,999339178;6,981359005;6,153143406;-4,852644444
2,016198448;5,896812439;6,900003433;-4,189533234
2,033057667;4,359723091;10,57986546;-3,210270643
2,049917667;2,312962294;15,39661694;-3,01376009
2,066777719;0,964905739;16,45005798;-0,217447758
2,083636938;0,158225402;12,6433754;0,261116773
2,100496157;1,400698543;10,22064304;-2,429612398
2,117356209;2,470888376;11,43440247;-4,943571568
2,134216209;2,394318104;11,94197941;-4,926821709
2,15107548;0,86680001;10,13928699;-3,997808456
2,167934698;0,026620151;8,008478165;-3,569194078
2,184794698;0,014656039;6,885646343;-3,830310822
2,201654751;-0,931107104;7,17069149;-3,590729475
2,218514021;-1,802692771;7,738089561;-4,620241642
2,23537324;-1,843370795;8,370093346;-4,572384834
2,25223324;-1,721336842;8,539983749;-4,428815842
2,269093292;-2,025225163;7,819445133;-4,658526421
2,285952563;-2,654836655;7,046264648;-4,213461399
2,30281173;-2,472982168;6,92153883;-3,554837227
2,319671782;-0,971785069;8,348558426;-2,446362019
2,336531834;0,218045965;9,160024643;-2,266900301
2,353391053;0,713659346;8,990134239;-2,647658348
2,370250271;0,641874671;8,791529655;-2,41046977
2,387110271;0,584446907;8,954241753;-2,391327143
2,403970376;0,428614348;9,26530838;-2,772084951
2,420829594;0,189332098;9,533603668;-3,085843801
2,437688813;-0,263210505;9,717850685;-3,171985626
2,454548813;-0,677467883;9,435498238;-3,040081263
2,471408865;-0,902393222;8,585447311;-2,901297569
2,488268136;-0,871286571;8,279166222;-3,298804998
2,505127355;-1,024427176;8,307880402;-3,526123285
2,521987355;-1,388435364;8,547162056;-3,677170277
2,538847407;-2,049153566;8,887242317;-3,710669756
2,555706678;-2,506481647;8,937491417;-3,803989887
2,572565896;-2,633301258;8,556734085;-3,969094515
2,589425896;-2,269592285;8,260024071;-4,266103745
2,606285948;-1,814656854;7,90558672;-4,244568348
2,623145219;-1,575075507;7,481758118;-3,526123285
2,640004438;-1,515254974;7,539186001;-2,528017044
2,656864438;-1,534397483;8,274380684;-2,211865425
2,67372449;-1,53918314;8,975776672;-3,140878916
2,690583761;-1,441077471;8,765208244;-4,735096931
2,70744298;-1,340578914;8,606983185;-5,439185143
2,72430298;-2,135295153;8,382058144;-5,740680695
2,741163032;-2,618944407;8,089834213;-5,733502388
2,758022303;-2,274377823;8,38923645;-5,341079235
2,774881521;-1,134796143;8,939884186;-4,548456669
2,791741521;0,043369912;8,880064011;-3,698705673
2,808601573;1,067797065;8,274380684;-3,317947626
2,825460844;1,939382792;7,728518009;-2,846262455
2,842320063;1,915454507;6,468996048;-2,585444927
2,859180063;1,853241086;5,204987526;-2,12333107
2,876040115;0,823729217;4,360022068;-2,21904397
2,892899386;-0,296710014;5,293521881;-1,215852976
2,909758605;-1,067497969;8,633303642;-0,308674127
2,926618605;-1,70937264;16,20838165;-5,711966991
2,943478657;0,096012011;21,87757683;-8,932107925
2,960337928;2,027917147;19,80419731;-6,784549713
2,977197146;1,364806175;12,42562866;-0,284745902
2,994057146;2,30339098;10,48176003;1,752742529
3,010917198;4,941477776;8,453842163;4,879563808
3,027776469;5,662315845;6,284748554;0,898205817
3,044635688;6,203392506;6,567400932;-0,75134629
3,061495688;4,965405941;6,964609623;-2,580659151
3,07835574;2,482852697;7,563114166;-5,338686466
3,095215011;2,336890459;8,303094864;-7,641777992
3,11207423;2,626421928;8,903991699;-7,328019142
3,128934282;2,284248352;8,899206161;-5,396114349
3,145794334;1,216451168;8,274380684;-3,020938635
3,162653553;0,799800992;7,685447216;-2,82233429
3,179512771;1,036690354;7,723732471;-3,420839071
3,196372823;0,124725878;8,14726162;-3,701098442
3,213232876;0,383150727;8,872885704;-3,451945782
3,230092146;0,629910588;9,006883621;-2,855833769
3,246951365;0,984048307;8,635697365;-2,944368362
3,263811365;1,393520117;7,951050758;-3,50219512
3,280671417;2,047059774;6,976573467;-4,158127785
3,297530688;3,2895329;6,08135891;-2,898904562
3,314389907;4,919942379;6,49322319;-3,679563046
3,331249907;7,66839838;6,153143406;-6,272186279
3,348109959;10,00020409;6,055037498;-9,997511864
3,36496923;10,37378311;7,192226887;-9,444471359
3,381828448;6,717849731;9,148059845;-4,857429981
3,398688501;4,630411148;8,31027317;-3,91166687
3,415548553;3,600898981;6,397211552;-4,309174538
3,432407771;3,964907169;6,49322319;-4,385744572
3,44926699;4,421936035;10,37378311;-3,899702787
3,466127042;3,318246841;15,68166256;-5,788537025
3,482987094;1,872383714;13,5604248;-1,278066397
3,499846365;1,460519075;11,70509052;0,464805812
3,516705584;2,00638175;11,88215923;-0,2222334
3,533565584;3,725325823;13,18206024;-2,116152525
3,550425688;4,558626175;10,76411247;-5,30728054
3,567284907;1,333699465;7,23529768;-4,732704163
3,584144126;-0,253639191;4,613661289;-2,953939438
3,601004178;-1,970190287;3,766302824;-3,375375509
3,61786423;-3,07148695;6,021538258;-4,663312435
3,634723501;-2,97577405;8,784351349;-6,154938221
3,651582719;-2,697907448;9,320642471;-9,008678436
3,668442719;-1,575075507;8,83220768;-10,63430214
3,685302771;-0,895214796;8,559126854;-9,020642281
3,702162042;-0,212961212;8,068299294;-7,081558704
3,719021261;0,258723944;8,319844246;-5,415256977
3,735881313;0,828514814;9,722636223;-3,619443417
3,752741365;0,62751776;10,73779202;-1,982154489
3,769600636;1,307378531;10,35703373;2,202892303
3,786459855;1,716850281;8,865707397;3,699303865
3,803319855;1,41984117;8,324629784;-0,052342996
3,820179907;0,859621525;8,161917686;-4,08873558
3,837039178;0,115154587;8,523234367;-5,561218739
3,853898396;-0,560219586;8,523234367;-4,960321426
3,870758448;-0,41635114;8,09701252;-3,634099483
3,887618501;-0,153140649;7,718946934;-3,018545866
3,904477771;-0,296710014;7,821837902;-3,10259366
3,92133699;-0,687039197;8,374878883;-3,698705673
3,93819699;-1,156331539;8,856135368;-4,392923355
3,955057094;-1,572682738;8,750851631;-4,718347073
3,971916313;-2,195115566;8,063512802;-4,823930264
3,988775532;-2,492124796;7,560721397;-4,835894585
4,005635584;-2,611765862;7,333403111;-4,457529545
4,022495636;-2,779263496;7,678268909;-3,969094515
4,039354907;-2,480160713;8,327022552;-4,280460835
4,056214126;-1,376471281;8,743673325;-4,893322468
4,073074178;-0,033499517;8,394021988;-5,597111225
4,08993423;0,098404832;7,812266827;-5,726323605
4,106793501;0,215653136;7,292725086;-5,360221863
4,123652719;0,572183728;7,108478069;-4,598706245
4,140512719;1,278664589;7,046264648;-4,440779686
4,157372823;1,6926229;6,629614353;-3,540480137
4,174232042;2,008774519;5,659923077;-2,484647274
4,191091261;2,475674152;4,587339878;-2,528017044
4,207951313;3,337389469;5,523531914;-2,082653046
4,224811365;2,600100994;10,45065308;-1,591825247
4,241670636;4,407579422;20,98684883;-3,600300789
4,258529855;2,940180779;19,79223251;-8,240283012
4,275389907;-0,078963146;17,1924305;-8,934500694
4,292249959;-0,868893743;14,08235931;-3,942773581
4,30910923;-0,047856454;10,52004433;-0,883250654
4,325968448;1,190130115;8,992527008;0,799800992
4,342828501;1,896311998;6,320641041;2,195713997
4,359688553;3,270390272;6,313462734;-2,128116608
4,376547823;5,997310638;8,48973465;-5,525326729
4,393407042;5,789135456;8,319844246;-5,11585474
4,410267042;4,984548569;10,19432163;-5,008177757
4,427127146;3,878466368;11,10419273;-4,282853603
4,443986365;2,918645382;10,62054348;-1,0651052
4,460845636;1,43659091;8,298309326;-1,63489604
4,477705636;0,689731121;6,76361227;-5,968297958
4,49456574;0,964905739;6,526722908;-9,018249512
4,511424959;1,678265929;5,921039581;-7,392625332
4,52828423;2,372782707;6,057430744;-5,257031441
4,54514423;3,505186081;6,071787357;-3,952344894
4,562004282;4,802694321;5,75324297;-3,035295486
4,578863553;6,660421848;5,549852848;-3,65563488
4,595722771;6,87846756;5,454140186;-4,538885593
4,612582823;5,93031168;5,200201988;-6,22193718
4,629442876;4,723731041;4,273880482;-7,581957817
4,646302146;3,373281717;3,9170506;-7,44048214
4,663161365;2,391925335;3,533900023;-6,557231426
4,680021417;2,911466837;3,878765583;-5,554040432
4,696881469;4,158725739;3,476472139;-6,308078766
4,71374074;7,36211729;6,040680885;-7,098308563
4,730599959;9,803992271;10,49611664;-8,027022362
4,747460011;8,769695282;12,34427261;-6,131010056
4,764320063;7,053143978;11,43440247;-4,323531628
4,781179334;5,781956673;8,669196129;-4,759324074
4,798038553;3,888037682;8,532805443;-7,110272408
4,814898605;3,318246841;8,322237015;-9,061320305
4,831758657;3,821038723;8,022834778;-7,859525204
4,848617928;3,77796793;8,236095428;-5,652146339
4,865477146;3,055036306;9,274879456;-4,828716278
4,882337198;2,547458887;10,46261692;-5,005784988
4,899197251;1,81495595;10,21585751;-5,268995285
4,916056521;1,288235903;9,526425362;-5,020142078
4,932915792;1,348056436;9,183952332;-4,898108006
4,949775792;1,477268934;9,662816048;-4,998606682
4,966635896;1,300199986;10,42672443;-5,070391178
4,983495115;0,77108711;10,43629551;-4,862215519
5,00035439;0,385543555;9,337391853;-3,942773581
5,01721439;0,155832574;7,936693668;-2,946761131
5,03407449;0,170189515;6,914360046;-2,580659151
5,05093376;0,294616282;6,579364777;-2,611765862
5,06779298;0,562612414;6,605686188;-3,148057222
5,08465303;0,802193821;6,296712875;-2,793620348
5,10151308;1,214058399;6,251249313;-5,527719498
5,11837236;1,94177556;6,315855503;-7,895417213
5,13523157;2,339283228;6,978966236;-8,084450722
5,15209163;1,18055892;6,844968319;-7,172485828
5,16895168;0,244367018;6,914360046;0,294616282
5,18581095;0;7,106084824;1,939382792
5,20267017;-0,620040178;7,266404152;-0,44745782
5,21953022;-1,371685624;7,268796921;-3,370589733
5,23639027;-1,354935765;7,824231148;-4,680061817
5,25324954;-0,928714275;8,664410591;-4,785645485
5,27010876;-0,260817677;8,635697365;-3,86620307
5,28696881;0,287437826;8,748458862;-3,430410385
5,30382892;-0,126819596;9,217452049;-3,463909864
5,32068819;-0,502492726;9,483354568;-3,475873947
5,33754741;-0,833001375;9,574281693;-3,571586847
