Time(s);X(rad/s);Y(rad/s);Z(rad/s)
0,008698657;1,612789512;2,062220335;1,47641778
0,025559073;1,620119691;2,794015408;1,647455096
0,042418709;1,331799746;3,16174531;1,181989431
0,059277563;0,992168665;2,449497461;0,724922955
0,076137094;0,730726063;1,252236843;0,734696567
0,092997563;0,872442603;0,19043164;0,998735249
0,109857146;0,982395113;-0,152864531;0,765238881
0,126716001;1,022711039;-0,332453609;0,647956252
0,143575584;1,11067307;0,419041216;0,803264141
0,160436001;0,97628665;1,209477544;1,039051175
0,177295636;0,742942989;1,580872655;1,05493319
0,19415449;0,723395884;1,282779217;1,045159698
0,211014021;1,066691995;0,714691281;0,91688174
0,22787449;1,237729311;0,599852026;0,727366388
0,244734126;1,166870952;0,855186164;0,666281641
0,261592928;1,025154471;0,983464062;0,672390103
0,278452511;0,882216156;0,968803763;0,64184773
0,295312928;0,733169437;0,866181433;0,590536594
0,312172563;0,59389627;0,719578087;0,502574563
0,329031417;0,501047492;0,543654084;0,379183441
0,345890948;0,394760042;0,373838514;0,242353648
0,362751417;0,293359399;0,179436386;0,08597675
0,379611053;0,271368891;-0,111326911;-0,096055731
0,396469855;0,233496368;-0,347113967;-0,292748541
0,413329438;0,11606098;-0,415528834;-0,471115947
0,430189907;-0,103844032;-0,354444116;-0,64703995
0,44704949;-0,420262903;-0,193180442;-0,803416848
0,463908344;-0,665823519;0,067040488;-0,881605327
0,480767928;-0,665823519;0,397050709;-0,743553817
0,497628344;-0,162485376;1,468476772;-0,02519745
0,51448798;-0,200357899;2,075659037;0,376740038
0,531346834;-0,691479087;0,320083976;0,318098724
0,548206365;-1,07264781;-1,689756274;-0,227998734
0,565066834;-1,099525094;-1,975632787;-0,961015463
0,581926469;-0,304201931;-0,876107693;-1,356844425
0,598785323;0,224944502;-0,072232686;-1,320193648
0,615644855;0,096513867;0,69758755;-1,001331329
0,632505323;-0,232121959;0,579083204;-0,676360607
0,649364959;-0,412932754;-0,642764032;-0,548082709
0,666223761;-0,411711067;-1,144880533;-0,523648799
0,683083344;-0,277324647;-0,840678513;-0,554191172
0,699943813;-0,290763289;-0,534033239;-0,676360607
0,716803396;-0,502116442;-0,465618312;-0,683690786
0,733662251;-0,531437099;-0,662311137;-0,769209385
0,750521834;-0,525328636;-0,465618312;-0,908482611
0,767382303;-0,685370624;0,041384902;-0,829072416
0,784241886;-0,824643791;0,120795049;-0,756992459
0,80110074;-0,762337387;-0,621995211;-0,81685549
0,817960323;-0,775776029;-1,366007209;-0,968345642
0,834820792;-1,034775257;-1,904774427;-1,06119442
0,851680376;-1,367076159;-2,546164036;-1,058750987
0,86853923;-1,767791986;-3,084931374;-1,019656777
0,885398813;-2,013352633;-3,249860048;-0,91947782
0,90225923;-1,453816533;-3,076379538;-0,791199923
0,919118865;-0,592521846;-1,94997716;-0,617719293
0,935977719;-0,018325418;-1,789935231;-0,549304426
0,952837303;0,107509121;-1,959750772;-0,452790529
0,969697719;-0,080631837;-1,736180663;-0,377045482
0,986557355;-0,213796541;-1,490620017;-0,258541107
1,003416209;-0,184475869;-1,257276416;-0,127819791
1,02027574;-0,083075225;-1,0434798;-0,096055731
1,037136209;-0,061084725;-0,888324618;-0,138815045
1,053995844;-0,171037227;-0,843121946;-0,199899763
1,070854698;-0,331079215;-0,691631794;-0,223111957
1,087714282;-0,447140187;-0,439962745;-0,241437376
1,104574698;-0,497229666;-0,31412819;-0,242659077
1,121434334;-0,550984204;-0,293359399;-0,207229927
1,138293188;-0,730573297;-0,110105217;-0,219446883
1,155152771;-0,923601031;-0,055128966;-0,224333659
1,172013188;-1,038440347;-0,058794048;-0,217003495
1,188872823;-0,959030211;-0,155307919;-0,186461121
1,205731678;-0,766002476;-0,287250936;-0,089947261
1,222591261;-0,598630309;-0,248156697;0,068873025
1,239451678;-0,541210651;-0,024586603;0,211811289
1,256311313;-0,674375355;0,310310394;0,337645829
1,273170167;-0,702474356;0,730573297;0,484249175
1,290029751;-0,519220173;1,159388065;0,595423341
1,306890219;-0,164928764;1,38784492;0,66994673
1,323749803;0,350779027;1,308434844;0,652842999
1,340608657;0,764933467;1,279114127;0,612527072
1,35746824;1,076465607;1,478250384;0,650399625
1,374328709;1,268271565;2,041451454;0,731031478
1,391188344;1,209630251;2,651077032;0,931542099
1,408047146;1,153432369;3,001703501;1,213753462
1,42490673;1,325691223;2,896637678;1,362800241
1,441767198;1,434422135;2,582662106;1,414111376
1,458626834;1,251167893;2,411624908;1,168550849
1,475485688;1,147323847;1,990140319;0,579541326
1,492345219;1,059361815;1,368297815;0,25579229
1,509205688;0,910315156;0,900388837;0,189820781
1,526065323;0,844343603;0,847855985;0,296108216
1,542924178;0,810136199;1,038440347;0,396287173
1,559783761;0,746608079;0,863738;0,371853262
1,57664423;0,6256603;0,684148908;0,214254677
1,593503813;0,531589806;0,981020689;0,061542861
1,610362667;0,48760882;1,354859233;0,128736064
1,627222251;0,425302416;1,264453769;0,24357535
1,644082719;0,316571593;0,968803763;0,338867515
1,660942355;0,341005474;0,780662775;0,253348887
1,677801209;0,584122717;0,647498071;0,12995775
1,694660792;0,72828263;0,454470366;-0,032527618
1,711521209;0,606113195;0,293206692;-0,195012987
1,728380844;0,322680056;0,38605547;-0,298857033
1,745239698;0,0219905;0,467909008;-0,394149184
1,762099282;-0,208909765;0,420262903;-0,521205425
1,778959751;-0,331079215;0,329857528;-0,648261666
1,795819386;-0,412932754;0,263733298;-0,747218907
1,81267824;-0,579083204;0,340852767;-0,804638565
1,829537771;-0,874733269;0,52044189;-0,763100922
1,84639824;-1,121515512;0,55587101;-0,721563339
1,863257876;-1,215586066;0,496007979;-0,750883997
1,88011673;-1,123958945;0,634059429;-0,776539564
1,896976313;-0,90283227;1,003011227;-0,724006712
1,913836782;-0,614512324;1,170383334;-0,60794574
1,930696417;-0,163707063;1,302326322;-0,405144453
1,947555271;0,272590578;1,414722204;-0,141258434
1,964414803;0,433854252;1,450151443;-0,16202724
1,981275271;0,435075969;1,358524323;-0,060626589
1,998134907;0,298246175;1,282779217;0,002901525
2,014993761;0,062306419;1,117850542;-0,124154702
2,031853344;-0,067193195;0,624285877;-0,067956761
2,048713813;-0,139273182;-0,218836024;-0,225555345
